Sentence,Label
Chevron maintains prior guidance despite muted consumer demand,neutral
Consumer confidence weakens as supply chain disruptions,negative
Target lowers forecast due to missed revenue targets,negative
Nike cuts jobs after an unexpected drop in sales,negative
Manufacturing activity expands as a rebound in business investment,positive
consumer stocks slide following persistent inflation pressures,negative
Airbnb raises full-year guidance after improved credit conditions,positive
Markets remain steady ahead of mixed quarterly results,neutral
Hiring strengthens as improving labor conditions,positive
Markets fall on fears of credit market strain,negative
Costco announces leadership update amid evolving trade policy,neutral
Tesla announces an easing in supply chain bottlenecks and improved margins,positive
Target explores options related to upcoming inflation data,neutral
Markets remain steady ahead of the latest GDP report,neutral
Treasury yields little changed after evolving trade policy,neutral
Visa lowers forecast due to banking sector stress,negative
Markets fall on fears of weaker consumer demand,negative
Market rallies after cooling price pressures,positive
Small business confidence improves with strong consumer demand,positive
Alphabet cuts jobs after an unexpected drop in sales,negative
Markets remain steady ahead of election-year uncertainty,neutral
Bond market volatility jumps on softening ad revenue,negative
Housing data shows modest change amid uncertain rate policy,neutral
Oil prices trade flat as traders assess shifting global demand,neutral
Federal Reserve officials discuss changing energy prices,neutral
Housing data shows modest change amid upcoming inflation data,neutral
Market rallies after new AI-related revenue,positive
Tesla shares rise after revenue beats estimates,positive
Apple reports stronger-than-expected revenue,positive
housing shares mixed following a stable labor market,neutral
Exxon lowers forecast due to persistent inflation pressures,negative
Target shares rise after sales growth beats estimates,positive
Amazon cuts jobs after rising borrowing costs,negative
Intel announces leadership update amid new industry guidance,neutral
Small business confidence improves with an easing in supply chain bottlenecks,positive
consumer stocks slide following missed revenue targets,negative
Hiring strengthens as steady wage growth,positive
Currency markets remain stable as mixed quarterly results,neutral
Currency markets remain stable as moderate wage growth,neutral
Housing data shows modest change amid moderate wage growth,neutral
consumer stocks slide following weaker consumer demand,negative
Small business confidence improves with increased corporate guidance,positive
Bank of America raises full-year guidance after an easing in supply chain bottlenecks,positive
Disney holds annual meeting as investors watch shifting global demand,neutral
Goldman Sachs reports stronger-than-expected profit margins,positive
Inflation cools as strong holiday sales,positive
Small business confidence improves with new AI-related revenue,positive
Retail sales climb on a rebound in business investment,positive
Currency markets remain stable as ongoing negotiations with regulators,neutral
Bond market volatility jumps on banking sector stress,negative
housing stocks slide following weaker consumer demand,negative
Bond yields ease as increased corporate guidance,positive
Intel warns of losses tied to credit market strain,negative
Goldman Sachs holds annual meeting as investors watch evolving trade policy,neutral
Bond yields ease as steady wage growth,positive
Manufacturing activity expands as increased corporate guidance,positive
Alphabet raises full-year guidance after resilient household spending,positive
Mastercard lowers forecast due to lower household savings,negative
Credit conditions tighten because of falling orders,negative
Pfizer misses earnings estimates as supply chain disruptions,negative
Retail sales climb on strong consumer demand,positive
Inflation cools as rising productivity,positive
Alphabet warns of losses tied to lower household savings,negative
Amazon explores options related to upcoming inflation data,neutral
Walmart holds annual meeting as investors watch uncertain rate policy,neutral
Inflation cools as improving labor conditions,positive
Analysts remain divided on Netflix after the latest GDP report,neutral
Treasury yields little changed after the next Fed meeting,neutral
Unemployment rises after weaker consumer demand,negative
Intel announces leadership update amid the next Fed meeting,neutral
Layoffs spread across healthcare as supply chain disruptions,negative
Economic data offers mixed signals on shifting global demand,neutral
Analysts upgrade Apple after better-than-expected earnings,positive
Markets remain steady ahead of muted consumer demand,neutral
Goldman Sachs warns of losses tied to lower household savings,negative
industrial shares mixed following the latest GDP report,neutral
Unemployment falls as strong holiday sales,positive
Consumer spending increases amid strong consumer demand,positive
housing stocks slide following an unexpected drop in sales,negative
Manufacturing contracts as weaker consumer demand,negative
Bond yields ease as resilient household spending,positive
Salesforce announces lower input costs and improved margins,positive
Bank shares sink on concerns over missed revenue targets,negative
Markets remain steady ahead of a stable labor market,neutral
Markets fall on fears of lower household savings,negative
Treasury yields little changed after a cautious earnings outlook,neutral
Investors await data on new industry guidance,neutral
Layoffs spread across semiconductor as credit market strain,negative
Inflation cools as steady wage growth,positive
Nike maintains prior guidance despite ongoing negotiations with regulators,neutral
Consumer spending increases amid a rebound in business investment,positive
Bank executives comment on moderate wage growth,neutral
Nike cuts jobs after softening ad revenue,negative
Consumer spending increases amid lower input costs,positive
Retail sales climb on improving labor conditions,positive
Unemployment falls as a rebound in business investment,positive
Bank of America explores options related to shifting global demand,neutral
Market rallies after improving labor conditions,positive
Credit conditions tighten because of an unexpected drop in sales,negative
consumer stocks slide following higher input costs,negative
Unemployment rises after persistent inflation pressures,negative
Bond market volatility jumps on credit market strain,negative
Oil prices trade flat as traders assess a stable labor market,neutral
Ford cuts jobs after a slowdown in hiring,negative
Treasury yields little changed after mixed quarterly results,neutral
Analysts upgrade Meta after a rebound in business investment,positive
Mastercard reports stronger-than-expected guidance,positive
Investors await data on evolving trade policy,neutral
Retail sales drop amid persistent inflation pressures,negative
Analysts remain divided on Ford after the latest GDP report,neutral
Tesla cuts jobs after lower household savings,negative
Bond yields ease as better export growth,positive
Layoffs spread across consumer as slowing global growth,negative
Markets fall on fears of slowing global growth,negative
Manufacturing activity expands as rising productivity,positive
Apple warns of losses tied to rising borrowing costs,negative
Consumer spending increases amid better-than-expected earnings,positive
Costco shares rise after profit margins beats estimates,positive
tech stocks gain as steady wage growth,positive
Unemployment rises after recession worries,negative
Bank shares sink on concerns over persistent inflation pressures,negative
industrial stocks slide following softening ad revenue,negative
industrial shares mixed following muted consumer demand,neutral
Economic data offers mixed signals on new industry guidance,neutral
Walmart announces leadership update amid uncertain rate policy,neutral
Analysts upgrade Visa after lower input costs,positive
healthcare shares mixed following election-year uncertainty,neutral
Bond yields ease as strong consumer demand,positive
Manufacturing contracts as an unexpected drop in sales,negative
Layoffs spread across automotive as supply chain disruptions,negative
Analysts remain divided on Netflix after muted consumer demand,neutral
Housing data shows modest change amid mixed quarterly results,neutral
Bank shares sink on concerns over credit market strain,negative
Analysts remain divided on Ford after election-year uncertainty,neutral
Credit conditions tighten because of banking sector stress,negative
Markets fall on fears of supply chain disruptions,negative
Credit conditions tighten because of persistent inflation pressures,negative
AMD lowers forecast due to rising borrowing costs,negative
PayPal announces leadership update amid ongoing negotiations with regulators,neutral
Markets fall on fears of falling orders,negative
Markets fall on fears of higher input costs,negative
Manufacturing contracts as missed revenue targets,negative
Federal Reserve officials discuss moderate wage growth,neutral
Costco announces cooling price pressures and improved margins,positive
Airbnb reports stronger-than-expected sales growth,positive
Analysts upgrade Salesforce after improving labor conditions,positive
Netflix holds annual meeting as investors watch uncertain rate policy,neutral
Investors await data on a cautious earnings outlook,neutral
Analysts remain divided on Visa after upcoming inflation data,neutral
Market rallies after steady wage growth,positive
banking stocks gain as improved credit conditions,positive
Bank shares sink on concerns over slowing global growth,negative
Housing data shows modest change amid changing energy prices,neutral
Netflix maintains prior guidance despite uncertain rate policy,neutral
Pfizer reports stronger-than-expected earnings,positive
PayPal lowers forecast due to missed revenue targets,negative
Inflation cools as an easing in supply chain bottlenecks,positive
Coca-Cola holds annual meeting as investors watch mixed quarterly results,neutral
Analysts upgrade Bank of America after lower input costs,positive
industrial stocks slide following rising borrowing costs,negative
Small business confidence improves with improved credit conditions,positive
Retail sales drop amid rising borrowing costs,negative
Analysts remain divided on PayPal after evolving trade policy,neutral
PayPal warns of losses tied to weaker consumer demand,negative
Alphabet announces steady wage growth and improved margins,positive
Retail sales climb on cooling price pressures,positive
Microsoft warns of losses tied to lower household savings,negative
Analysts remain divided on Visa after changing energy prices,neutral
Unemployment falls as better-than-expected earnings,positive
Unemployment falls as steady wage growth,positive
Analysts upgrade GM after strong holiday sales,positive
Inflation cools as strong consumer demand,positive
Exxon announces better export growth and improved margins,positive
Oil prices trade flat as traders assess muted consumer demand,neutral
Manufacturing contracts as a slowdown in hiring,negative
JPMorgan lowers forecast due to credit market strain,negative
Costco cuts jobs after lower household savings,negative
PayPal shares rise after sales growth beats estimates,positive
Bank executives comment on election-year uncertainty,neutral
Treasury yields little changed after shifting global demand,neutral
Markets remain steady ahead of moderate wage growth,neutral
Manufacturing activity expands as improving labor conditions,positive
Apple raises full-year guidance after rising productivity,positive
semiconductor stocks slide following higher input costs,negative
Small business confidence improves with lower input costs,positive
AMD raises full-year guidance after an easing in supply chain bottlenecks,positive
Goldman Sachs explores options related to uncertain rate policy,neutral
Unemployment rises after rising borrowing costs,negative
Bank of America reports stronger-than-expected sales growth,positive
Analysts upgrade Uber after steady wage growth,positive
Analysts remain divided on AMD after changing energy prices,neutral
tech stocks slide following weaker consumer demand,negative
banking shares mixed following a cautious earnings outlook,neutral
Amazon warns of losses tied to falling orders,negative
Visa reports stronger-than-expected earnings,positive
Housing data shows modest change amid shifting global demand,neutral
Federal Reserve officials discuss the latest GDP report,neutral
Unemployment falls as new AI-related revenue,positive
Hiring strengthens as strong consumer demand,positive
Analysts remain divided on Costco after the latest GDP report,neutral
Bond yields ease as strong holiday sales,positive
Exxon warns of losses tied to a slowdown in hiring,negative
Consumer confidence weakens as persistent inflation pressures,negative
Currency markets remain stable as changing energy prices,neutral
Investors await data on shifting global demand,neutral
Salesforce explores options related to the latest GDP report,neutral
banking stocks slide following weaker consumer demand,negative
Alphabet announces strong holiday sales and improved margins,positive
Alphabet explores options related to moderate wage growth,neutral
Layoffs spread across healthcare as credit market strain,negative
Oil prices trade flat as traders assess the latest GDP report,neutral
Bond market volatility jumps on falling orders,negative
Mastercard lowers forecast due to persistent inflation pressures,negative
Inflation accelerates amid higher input costs,negative
Bank executives comment on muted consumer demand,neutral
Uber explores options related to shifting global demand,neutral
Small business confidence improves with improving labor conditions,positive
Tesla shares rise after profit margins beats estimates,positive
Layoffs spread across automotive as banking sector stress,negative
Retail sales climb on steady wage growth,positive
Retail sales climb on resilient household spending,positive
JPMorgan announces strong consumer demand and improved margins,positive
Market rallies after strong consumer demand,positive
Investors await data on moderate wage growth,neutral
Manufacturing activity expands as better-than-expected earnings,positive
Retail sales drop amid missed revenue targets,negative
Layoffs spread across travel as falling orders,negative
Markets fall on fears of banking sector stress,negative
Unemployment rises after missed revenue targets,negative
Consumer spending increases amid improved credit conditions,positive
Treasury yields little changed after moderate wage growth,neutral
Meta holds annual meeting as investors watch shifting global demand,neutral
Salesforce announces new AI-related revenue and improved margins,positive
Manufacturing contracts as slowing global growth,negative
Retail sales drop amid supply chain disruptions,negative
Unemployment rises after slowing global growth,negative
Alphabet warns of losses tied to recession worries,negative
Retail sales drop amid falling orders,negative
Economic data offers mixed signals on mixed quarterly results,neutral
industrial stocks slide following a slowdown in hiring,negative
Markets remain steady ahead of uncertain rate policy,neutral
Consumer spending increases amid an easing in supply chain bottlenecks,positive
Coca-Cola lowers forecast due to slowing global growth,negative
Amazon announces leadership update amid ongoing negotiations with regulators,neutral
Ford announces resilient household spending and improved margins,positive
Bank shares sink on concerns over higher input costs,negative
AMD shares rise after sales growth beats estimates,positive
Bond market volatility jumps on supply chain disruptions,negative
semiconductor stocks gain as an easing in supply chain bottlenecks,positive
Nike misses earnings estimates as banking sector stress,negative
Bond market volatility jumps on persistent inflation pressures,negative
Consumer spending increases amid increased corporate guidance,positive
Intel cuts jobs after supply chain disruptions,negative
Markets remain steady ahead of evolving trade policy,neutral
semiconductor stocks gain as strong consumer demand,positive
Retail sales climb on better export growth,positive
Analysts upgrade Coca-Cola after better-than-expected earnings,positive
Inflation accelerates amid slowing global growth,negative
Disney shares rise after revenue beats estimates,positive
Meta maintains prior guidance despite election-year uncertainty,neutral
Inflation accelerates amid credit market strain,negative
Tesla raises full-year guidance after strong consumer demand,positive
semiconductor stocks slide following persistent inflation pressures,negative
Layoffs spread across travel as a slowdown in hiring,negative
Mastercard holds annual meeting as investors watch shifting global demand,neutral
housing stocks gain as steady wage growth,positive
Credit conditions tighten because of weaker consumer demand,negative
PayPal holds annual meeting as investors watch ongoing negotiations with regulators,neutral
Pfizer shares rise after sales growth beats estimates,positive
GM raises full-year guidance after lower input costs,positive
Hiring strengthens as rising productivity,positive
Costco raises full-year guidance after increased corporate guidance,positive
Manufacturing contracts as falling orders,negative
Target cuts jobs after a slowdown in hiring,negative
banking stocks gain as rising productivity,positive
Markets remain steady ahead of shifting global demand,neutral
Target announces steady wage growth and improved margins,positive
Exxon cuts jobs after supply chain disruptions,negative
Economic data offers mixed signals on changing energy prices,neutral
Analysts remain divided on Coca-Cola after shifting global demand,neutral
energy stocks slide following falling orders,negative
GM raises full-year guidance after new AI-related revenue,positive
Consumer confidence weakens as credit market strain,negative
Walmart lowers forecast due to higher input costs,negative
Currency markets remain stable as evolving trade policy,neutral
Unemployment falls as rising productivity,positive
Bank executives comment on shifting global demand,neutral
Bank executives comment on ongoing negotiations with regulators,neutral
Inflation cools as increased corporate guidance,positive
Economic data offers mixed signals on muted consumer demand,neutral
Bank executives comment on a stable labor market,neutral
JPMorgan misses earnings estimates as credit market strain,negative
Consumer spending increases amid improving labor conditions,positive
Bank shares sink on concerns over an unexpected drop in sales,negative
Nike holds annual meeting as investors watch muted consumer demand,neutral
Hiring strengthens as new AI-related revenue,positive
Apple announces cooling price pressures and improved margins,positive
Airbnb cuts jobs after missed revenue targets,negative
Analysts upgrade AMD after an easing in supply chain bottlenecks,positive
Salesforce reports stronger-than-expected profit margins,positive
Consumer confidence weakens as lower household savings,negative
Economic data offers mixed signals on the next Fed meeting,neutral
Netflix explores options related to uncertain rate policy,neutral
Markets remain steady ahead of a cautious earnings outlook,neutral
Layoffs spread across banking as recession worries,negative
Hiring strengthens as resilient household spending,positive
Treasury yields little changed after upcoming inflation data,neutral
Alphabet lowers forecast due to weaker consumer demand,negative
Small business confidence improves with rising productivity,positive
Unemployment rises after falling orders,negative
Visa warns of losses tied to slowing global growth,negative
Hiring strengthens as a rebound in business investment,positive
Microsoft announces improving labor conditions and improved margins,positive
Credit conditions tighten because of higher input costs,negative
Consumer confidence weakens as a slowdown in hiring,negative
Manufacturing contracts as rising borrowing costs,negative
Treasury yields little changed after election-year uncertainty,neutral
Federal Reserve officials discuss muted consumer demand,neutral
Analysts remain divided on Salesforce after election-year uncertainty,neutral
Bond yields ease as cooling price pressures,positive
Federal Reserve officials discuss a stable labor market,neutral
Tesla announces leadership update amid evolving trade policy,neutral
banking stocks slide following falling orders,negative
banking stocks slide following banking sector stress,negative
Market rallies after rising productivity,positive
Exxon raises full-year guidance after strong consumer demand,positive
GM shares rise after cash flow beats estimates,positive
Treasury yields little changed after a stable labor market,neutral
Analysts upgrade JPMorgan after improved credit conditions,positive
AMD warns of losses tied to missed revenue targets,negative
Unemployment falls as lower input costs,positive
healthcare stocks slide following banking sector stress,negative
healthcare stocks slide following falling orders,negative
housing stocks gain as improving labor conditions,positive
Walmart holds annual meeting as investors watch moderate wage growth,neutral
Disney announces leadership update amid the latest GDP report,neutral
Meta lowers forecast due to persistent inflation pressures,negative
Visa shares rise after earnings beats estimates,positive
Ford lowers forecast due to softening ad revenue,negative
Inflation accelerates amid persistent inflation pressures,negative
semiconductor stocks gain as better-than-expected earnings,positive
Analysts remain divided on AMD after ongoing negotiations with regulators,neutral
Housing data shows modest change amid the latest GDP report,neutral
Nike reports stronger-than-expected earnings,positive
AMD explores options related to a cautious earnings outlook,neutral
Bond market volatility jumps on rising borrowing costs,negative
Inflation cools as a rebound in business investment,positive
Market rallies after resilient household spending,positive
Consumer spending increases amid steady wage growth,positive
Currency markets remain stable as the latest GDP report,neutral
Exxon lowers forecast due to higher input costs,negative
Oil prices trade flat as traders assess a cautious earnings outlook,neutral
consumer shares mixed following a cautious earnings outlook,neutral
Chevron maintains prior guidance despite the next Fed meeting,neutral
Analysts remain divided on Intel after the next Fed meeting,neutral
AMD warns of losses tied to rising borrowing costs,negative
JPMorgan raises full-year guidance after a rebound in business investment,positive
GM warns of losses tied to supply chain disruptions,negative
Airbnb reports stronger-than-expected earnings,positive
Retail sales climb on increased corporate guidance,positive
Market rallies after improved credit conditions,positive
Intel misses earnings estimates as banking sector stress,negative
Analysts upgrade Netflix after increased corporate guidance,positive
Analysts upgrade Amazon after a rebound in business investment,positive
Unemployment falls as better export growth,positive
Unemployment rises after banking sector stress,negative
tech stocks gain as lower input costs,positive
consumer shares mixed following uncertain rate policy,neutral
Bank shares sink on concerns over lower household savings,negative
Coca-Cola warns of losses tied to an unexpected drop in sales,negative
Pfizer explores options related to a stable labor market,neutral
Bond yields ease as a rebound in business investment,positive
Housing data shows modest change amid new industry guidance,neutral
Federal Reserve officials discuss election-year uncertainty,neutral
consumer shares mixed following ongoing negotiations with regulators,neutral
industrial stocks slide following missed revenue targets,negative
Nike maintains prior guidance despite election-year uncertainty,neutral
Manufacturing contracts as credit market strain,negative
Chevron holds annual meeting as investors watch new industry guidance,neutral
Analysts remain divided on Meta after uncertain rate policy,neutral
industrial stocks slide following falling orders,negative
Bank shares sink on concerns over softening ad revenue,negative
Analysts upgrade AMD after better-than-expected earnings,positive
Treasury yields little changed after uncertain rate policy,neutral
Consumer confidence weakens as higher input costs,negative
Inflation cools as resilient household spending,positive
Housing data shows modest change amid a cautious earnings outlook,neutral
Currency markets remain stable as a cautious earnings outlook,neutral
Intel announces leadership update amid the latest GDP report,neutral
Investors await data on muted consumer demand,neutral
Pfizer misses earnings estimates as weaker consumer demand,negative
Layoffs spread across housing as softening ad revenue,negative
Pfizer reports stronger-than-expected revenue,positive
Alphabet announces leadership update amid a stable labor market,neutral
Bond market volatility jumps on a slowdown in hiring,negative
JPMorgan maintains prior guidance despite moderate wage growth,neutral
JPMorgan cuts jobs after recession worries,negative
Inflation accelerates amid rising borrowing costs,negative
Unemployment rises after softening ad revenue,negative
Ford reports stronger-than-expected cash flow,positive
industrial shares mixed following a stable labor market,neutral
GM warns of losses tied to falling orders,negative
Unemployment falls as an easing in supply chain bottlenecks,positive
Visa cuts jobs after lower household savings,negative
Unemployment falls as improving labor conditions,positive
Credit conditions tighten because of credit market strain,negative
Consumer confidence weakens as an unexpected drop in sales,negative
Meta reports stronger-than-expected guidance,positive
JPMorgan lowers forecast due to weaker consumer demand,negative
Bond yields ease as better-than-expected earnings,positive
Bond yields ease as new AI-related revenue,positive
Coca-Cola cuts jobs after softening ad revenue,negative
retail stocks gain as new AI-related revenue,positive
Amazon holds annual meeting as investors watch muted consumer demand,neutral
Housing data shows modest change amid the next Fed meeting,neutral
Amazon reports stronger-than-expected earnings,positive
Bank executives comment on uncertain rate policy,neutral
GM cuts jobs after a slowdown in hiring,negative
Walmart raises full-year guidance after improving labor conditions,positive
Federal Reserve officials discuss uncertain rate policy,neutral
Analysts upgrade Costco after rising productivity,positive
Inflation accelerates amid weaker consumer demand,negative
automotive shares mixed following mixed quarterly results,neutral
Coca-Cola misses earnings estimates as missed revenue targets,negative
Alphabet announces leadership update amid the latest GDP report,neutral
Exxon shares rise after sales growth beats estimates,positive
Retail sales climb on strong holiday sales,positive
Currency markets remain stable as a stable labor market,neutral
Retail sales climb on better-than-expected earnings,positive
Retail sales drop amid higher input costs,negative
Credit conditions tighten because of softening ad revenue,negative
Inflation cools as better export growth,positive
Uber explores options related to ongoing negotiations with regulators,neutral
